year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2020,TEA_operacional,records,principal_y_secundario,MUJER,1.0,9859209.0,0.010142801516835682,0.00025679350122600987,0.056512073036882556,0.01383445155866075,0.0003502579881301328,0.08086503457569509,0.00019139204992893084,0
2020,TEA_operacional,records,principal_y_secundario,TOTAL,5.0,19458310.0,0.025695962290661418,0.008343409011976994,0.05996580422103806,0.03397297749779456,0.011030933319893764,0.08056452590039281,0.0002308326400131311,0
2021,TEA_operacional,records,principal_y_secundario,HOMBRE,2.0,9708512.0,0.02060047924954926,0.0024948136083466237,0.07441601419171096,0.02652089888367396,0.003211241914237357,0.09947011788048787,0.000351718193750541,0
2021,TEA_operacional,records,principal_y_secundario,MUJER,1.0,9969851.0,0.010030240171091824,0.0002539436946880136,0.05588492135879361,0.013594487961712438,0.00034418263585937595,0.08064827345124502,0.00018481010294114437,0
2021,TEA_operacional,records,principal_y_secundario,TOTAL,3.0,19678363.0,0.015245170545944294,0.0031439206751882835,0.044552857723695424,0.020166148588499952,0.004158330998593751,0.06071524492649996,0.00013557021507395892,0
2022,TEA_operacional,records,principal_y_secundario,HOMBRE,5.0,9782978.0,0.05110918168271461,0.01659501217439537,0.1192717808352699,0.0643096415418212,0.020599398765813196,0.15454081954295174,0.0008428038238427182,0
2022,TEA_operacional,records,principal_y_secundario,MUJER,3.0,10045585.0,0.029863865568804604,0.0061586470364404,0.08727488811992853,0.03755113451887047,0.007584681782975909,0.1166937866586958,0.0004789981441033879,0
2022,TEA_operacional,records,principal_y_secundario,TOTAL,8.0,19828563.0,0.04034583847553653,0.01741846939058822,0.07949738576715475,0.05117173317685521,0.021868420105787146,0.10329748344278572,0.000333896408109298,0
2023,TEA_operacional,records,principal_y_secundario,HOMBRE,7.0,9848466.0,0.07107705910747927,0.02857666413754046,0.14644590702452928,0.08375616894671899,0.033452028185974765,0.1782053621508955,0.001014042667688138,0
2023,TEA_operacional,records,principal_y_secundario,MUJER,0.0,10112423.0,0.0,0.0,0.036478690162722975,0.0,0.0,0.05638407943772469,0.0,0
2023,TEA_operacional,records,principal_y_secundario,TOTAL,7.0,19960889.0,0.035068578358408785,0.014099387314462123,0.07225467443710737,0.04255530558700447,0.016993992239739266,0.09058918766378052,0.0002618444614390795,0
2024,TEA_operacional,records,principal_y_secundario,HOMBRE,8.0,9910500.0,0.08072246607133848,0.03485023133795975,0.1590554383753929,0.0967546667552592,0.041410867081684184,0.19605473234139534,0.0011902092802873773,0
2024,TEA_operacional,records,principal_y_secundario,MUJER,7.0,10175877.0,0.06879013966068968,0.027657203909990907,0.14173397891604209,0.0970094656775583,0.03896499885168329,0.20251502993997333,0.0013467386740780326,0
2024,TEA_operacional,records,principal_y_secundario,TOTAL,15.0,20086377.0,0.07467747916909058,0.04179641820315986,0.12316914529427503,0.09679844396420915,0.053963234559116134,0.16162906890912576,0.0006321147319907015,0
2019,TEA_operacional,records,solo_secundario,HOMBRE,1590.0,9424139.0,16.871567789906326,16.05237616109553,17.721730886688214,21.24715340133571,20.21146858079341,22.323192791387864,0.28618086392994624,0
2019,TEA_operacional,records,solo_secundario,MUJER,506.0,9683077.0,5.225611652163873,4.780157797471869,5.701402850363745,7.037694303552568,6.434815691723669,7.682910037417448,0.09887253611369996,0
2019,TEA_operacional,records,solo_secundario,TOTAL,2096.0,19107216.0,10.96967763383216,10.505034451945344,11.449580205696854,14.26816666548372,13.661223054498075,14.895654360599648,0.09797029242985364,0
2020,TEA_operacional,records,solo_secundario,HOMBRE,1075.0,9599101.0,11.198965403114313,10.539430897626305,11.8889617597644,14.243625510000426,13.400927771791096,15.126738210327352,0.1904922314715699,0
