Comuna,CUT,Region,A05 entries,A05 smoothed ratio,A05 establishments,P2 December,P2 smoothed ratio,P6 primary,P6 smoothed ratio,A05 data state
Quinta de Tilcoco,6114,O'Higgins,8,0.26,2,25,0.46,69,1.21,reported
Río Hurtado,4305,Coquimbo,<5,0.26,0,40,2.17,10,0.62,reported
Quemchi,10209,Los Lagos,<5,0.25,0,38,1.08,16,0.48,reported
San Esteban,5304,Valparaíso,14,0.24,1,54,0.63,50,0.59,reported
Puchuncaví,5105,Valparaíso,12,0.24,1,148,1.73,22,0.27,reported
Paillaco,14107,Los Ríos,12,0.24,1,77,0.92,18,0.23,reported
Lonquimay,9205,La Araucanía,6,0.23,0,35,0.79,77,1.72,reported
Curepto,7103,Maule,<5,0.23,1,7,0.23,5,0.17,reported
Rinconada,5303,Valparaíso,7,0.23,1,126,2.56,38,0.81,reported
Mulchén,8305,Biobío,19,0.23,2,175,1.39,50,0.41,reported
Tocopilla,2301,Antofagasta,19,0.23,1,172,1.50,19,0.18,reported
Estación Central,13106,Metropolitana,117,0.22,5,247,0.28,277,0.32,reported
Peralillo,6307,O'Higgins,5,0.22,1,55,1.12,17,0.37,reported
Máfil,14105,Los Ríos,<5,0.22,0,45,1.48,25,0.86,reported
Hualañé,7302,Maule,<5,0.22,1,50,1.21,83,2.01,reported
La Reina,13113,Metropolitana,53,0.21,3,73,0.19,136,0.35,reported
Putaendo,5705,Valparaíso,8,0.20,1,131,1.79,20,0.29,reported
Freire,9105,La Araucanía,12,0.20,0,75,0.74,54,0.54,reported
Machalí,6108,O'Higgins,37,0.19,3,158,0.61,196,0.77,reported
Las Condes,13114,Metropolitana,138,0.18,3,373,0.27,150,0.11,reported
Vichuquén,7309,Maule,0,0.18,0,19,1.09,<5,0.29,No reporting establishment
Puqueldón,10206,Los Lagos,0,0.17,0,29,1.64,6,0.41,No reporting establishment
Teodoro Schmidt,9117,La Araucanía,5,0.17,0,47,0.75,87,1.38,reported
Calera de Tango,13403,Metropolitana,12,0.16,0,34,0.29,40,0.34,reported
Retiro,7405,Maule,7,0.16,1,61,0.71,51,0.60,reported
Renaico,9209,La Araucanía,<5,0.15,0,58,1.30,10,0.25,reported
Curaco de Vélez,10204,Los Lagos,0,0.15,0,49,2.74,20,1.20,No reporting establishment
Carahue,9102,La Araucanía,9,0.15,0,101,0.99,73,0.72,reported
Lago Ranco,14203,Los Ríos,<5,0.14,0,10,0.28,6,0.18,reported
Río Negro,10305,Los Lagos,<5,0.14,0,179,3.08,27,0.49,reported
Perquenco,9113,La Araucanía,<5,0.13,0,<5,0.13,11,0.41,reported
Curarrehue,9104,La Araucanía,<5,0.11,0,30,0.95,<5,0.11,reported
